,Estrato,Genero,Edad,Grado,Zona,Deporte,Trabaja,Invitacion_drogas,Consecuencias_consumo,Padres_alcohol,Reaccion_padres,Cigarrillo,Consume_droga,A_que_edad,Atencion_padres,Conocimiento_amistades_padres,Continua,Grados_perdidos,Recreo,Acoso_escolar,Acoso_sexual,Relacion_familiar,Limitaciones,Sexualidad,Habitacion_compartida,Perdida_familiar,Rupturas_amorosas,Situacion_sentimental,Otro_colegio,Familiares_consumidores,Colegio,MadreyPadre,Otros_familiares,Solo Madre,Solo Padre,Casados,Separados,Soltero_soltera,Unión_libre,Viudo_viuda,Agresivo,Alegre,Extrovertido,Malhumorado,Timido,Impulsivo,Calle,Casa,Colegio,Con_pareja_sentimental,Fiestas,No_consumido,Parque,Paseo
0,3,0,16,11,1,1,0,0,1,2,4,0,0,0.0,3,3,0,0,10000,0,0,3,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,5,1,16,10,1,1,0,1,1,2,3,0,0,0.0,3,3,0,0,50000,1,0,3,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2,4,0,16,10,1,1,1,1,1,3,2,0,1,14.0,3,3,0,0,30000,0,1,4,0,1,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
3,4,0,16,11,1,1,0,1,1,2,4,1,1,15.0,3,2,0,0,50000,0,1,2,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
4,3,1,16,11,1,0,0,0,1,2,3,1,1,14.0,3,3,1,0,35000,0,0,4,0,1,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
5,3,0,16,11,1,1,0,1,0,2,4,1,0,0.0,3,2,0,0,15000,0,1,3,0,1,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
6,3,1,16,10,1,1,0,0,1,1,4,0,0,0.0,3,2,0,0,10000,1,0,4,0,1,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
7,2,0,15,10,0,0,0,0,0,2,4,0,0,0.0,3,3,0,0,45000,1,1,3,0,1,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
8,3,0,16,11,1,0,0,1,1,2,4,0,0,0.0,3,2,0,0,10000,0,1,3,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
9,4,0,16,11,1,0,0,1,0,2,3,1,0,0.0,2,2,0,0,50000,0,0,3,0,1,0,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
10,4,1,16,11,1,0,0,1,0,2,4,1,1,0.0,2,2,0,0,50000,0,0,3,0,1,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
11,6,0,16,11,1,1,0,1,0,3,4,0,0,0.0,3,3,0,0,100000,0,0,2,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
12,4,1,15,10,1,1,0,0,1,1,3,0,0,0.0,3,2,0,0,70000,0,0,3,0,1,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
13,4,0,14,10,1,1,0,0,1,2,4,1,0,0.0,3,1,0,0,36000,0,0,2,0,1,1,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
14,3,0,16,10,1,1,0,0,0,2,3,0,0,0.0,3,3,0,0,10000,1,0,3,0,1,0,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
15,4,1,15,10,1,1,0,1,1,1,4,0,0,0.0,3,3,0,0,50000,0,0,4,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
16,3,1,17,10,0,0,0,0,1,2,4,0,0,0.0,3,3,0,1,30000,0,0,4,0,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
17,4,0,17,11,1,1,0,1,1,2,3,0,0,0.0,3,2,0,0,40000,0,0,4,0,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
18,4,0,16,11,1,1,0,1,1,2,4,1,1,15.0,3,2,0,0,70000,0,0,3,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
19,5,0,17,10,1,0,0,0,1,1,4,0,0,0.0,3,3,0,1,50000,0,0,4,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
20,5,1,17,11,1,1,0,1,1,1,4,1,1,16.0,3,3,0,0,30000,0,0,4,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
21,3,0,16,11,0,0,0,1,1,2,4,0,0,0.0,3,1,0,0,25000,1,1,3,0,0,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
22,2,0,16,11,0,1,0,0,1,1,3,0,0,0.0,3,2,0,0,70000,0,0,4,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
23,3,0,16,10,1,0,0,0,1,2,3,0,0,0.0,3,2,0,0,50000,0,0,3,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
24,3,0,17,11,1,1,0,0,1,2,3,0,0,0.0,3,3,0,0,50000,0,0,4,0,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
25,4,0,16,11,1,1,0,0,1,1,4,1,0,0.0,3,2,0,0,100000,1,0,4,0,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
26,3,1,15,10,1,1,0,0,1,2,3,0,0,0.0,3,2,0,0,105000,0,0,4,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
27,4,1,18,10,1,1,1,1,1,1,4,0,1,11.0,3,3,0,1,0,1,1,4,1,1,0,1,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
28,3,1,16,10,1,1,0,0,0,1,4,0,0,0.0,3,2,0,0,10000,1,0,4,0,1,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
29,3,0,16,10,1,1,0,0,1,1,3,0,0,0.0,3,3,0,0,10000,1,0,3,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
30,4,1,13,9,1,1,0,0,1,2,3,1,0,0.0,2,3,0,0,25000,1,0,3,0,1,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
31,4,1,11,6,1,1,0,0,1,1,1,0,0,0.0,3,3,0,0,1000,0,0,4,0,1,1,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
32,2,1,15,9,1,1,0,0,1,2,4,0,0,0.0,3,3,0,0,50000,0,0,4,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
